Arabic,0.7308256873376056
Basque,0.622177153432689
Bulgarian,0.7999641821159421
Croatian,0.7164146068014509
Czech,0.8014753419834698
Danish,0.7423062790567492
Dutch,0.6481324989252327
English,0.8101271471800306
Finnish,0.6436178644484221
Gothic,0.6395859996832681
Greek,0.7267369937234359
Hebrew,0.7312524805520846
Hindi,0.8455628727621014
Italian,0.8174261704519618
Norwegian,0.82605727919967
Old_Church_Slavonic,0.6806606853698312
Persian,0.7840674965647091
Polish,0.8192691833748541
Portuguese,0.7682879506256887
Slovenian,0.8035774080846648
Spanish,0.7416934269569853
Swedish,0.7849773633547525
