,Content precision,Content recall,LAS,WLAS
English,0.5084415462631109,0.5814232809528563,0.5451567539889458,0.5468632420585302
German,0.37153742751323887,0.4375640673129503,0.46373634088320204,0.46373634088320204
Spanish,0.4487127065369046,0.4634249498294061,0.490215806223122,0.47895981087470674
