Arabic,0.7413439956234218
Basque,0.6189931985228185
Bulgarian,0.8004901728071621
Croatian,0.7141891586473302
Czech,0.8037128293691619
Danish,0.7432792444227301
Dutch,0.6662460537647148
English,0.8174034068359303
Finnish,0.6407027043833333
Gothic,0.6444091435021045
Greek,0.7256288057755537
Hebrew,0.755928607362812
Hindi,0.8402575679083497
Italian,0.8256723965748025
Norwegian,0.828055927252691
Old_Church_Slavonic,0.6840438822582744
Persian,0.7889791741090947
Polish,0.8167304522326752
Portuguese,0.7814391401800095
Slovenian,0.802943632161488
Spanish,0.7569708731017534
Swedish,0.7866227708478285
