Arabic,0.7492570722859018
Bulgarian,0.8238045738045738
Croatian,0.7172686230248307
Czech,0.8107616674523537
Danish,0.7699325664418881
English,0.8325313237697476
Finnish,0.6575870486958756
Gothic,0.6698332687088019
Greek,0.7535918126353081
Hebrew,0.785064935064935
Hindi,0.8730495379487956
Italian,0.8591853528080642
Norwegian,0.8500736599554263
Old_Church_Slavonic,0.707816499310888
Persian,0.8032876338585363
Polish,0.827597672485453
Portuguese,0.8181273707326812
Slovenian,0.8201362107163371
Spanish,0.7977179884490774
Swedish,0.8035567715458276
